Frame,SI,TI
0,106.7225,N/A
1,108.7762,8.7539
2,109.3148,6.9822
3,109.6770,7.2664
4,108.5309,7.6369
5,109.7596,6.7915
6,109.8125,6.8938
7,110.2306,7.4049
8,108.5926,7.7165
9,109.3679,7.0391
10,109.7545,7.4166
11,110.0543,7.0395
12,108.8322,7.5704
13,110.0753,6.7766
14,110.5746,7.5259
15,111.2462,6.8725
16,109.7677,7.6561
17,110.8128,7.0456
18,111.2156,7.4325
19,111.8909,7.0534
20,110.4527,7.1916
21,111.0830,6.5804
22,111.3422,7.4882
23,111.7695,6.4237
24,110.2171,7.7996
25,111.1641,6.9173
26,111.4840,7.3183
27,112.2440,7.0443
28,110.7242,7.5417
29,111.4973,6.6909
30,111.7956,7.4444
31,111.8890,6.9580
32,110.4248,7.4180
33,111.1684,7.0323
34,111.4251,6.6694
35,112.0855,7.3011
36,111.1497,6.0021
37,111.6796,7.5006
38,111.7438,6.6430
39,112.4117,7.8209
40,111.3595,6.4922
41,111.8705,7.4279
42,112.4068,7.1795
43,112.9286,7.8267
44,112.0708,5.7116
45,112.7562,7.2780
46,112.8329,6.4737
47,113.6590,7.9655
48,112.3886,6.4826
49,112.7690,7.7139
50,112.9647,6.2536
51,113.7432,7.5193
52,112.5273,6.2942
53,113.7388,7.5813
54,114.2301,6.6200
55,115.0798,7.9133
56,114.1797,6.3834
57,114.8492,7.6386
58,114.7283,6.7468
59,115.2158,7.9541
60,113.9807,6.1984
61,114.8492,7.4806
62,115.2119,6.6356
63,116.0925,8.1788
64,114.9624,6.5840
65,115.5677,7.5936
66,115.8535,7.6044
67,116.3060,7.0644
68,114.5104,7.4724
69,115.5115,7.1149
70,116.1151,8.0974
71,116.7494,6.7929
72,115.4007,8.1310
73,115.8541,6.9395
74,116.0301,8.0933
75,116.5064,7.2883
76,114.3891,7.8758
77,115.2035,7.1522
78,115.8587,7.7714
79,116.3376,6.9476
80,114.9211,7.4417
81,115.3088,7.2150
82,115.6498,7.2500
83,116.1106,7.0522
84,114.1082,7.8779
85,115.0974,6.9551
86,115.5055,7.5952
87,116.1024,8.1745
88,114.5946,7.7479
89,115.2035,6.4602
90,115.4177,7.7920
91,115.8788,7.0622
92,114.4702,7.7833
93,115.0358,7.2617
94,115.3224,7.6791
95,115.8251,8.0010
96,114.3850,7.7571
97,115.1665,6.7831
98,115.3914,7.7683
99,115.6115,7.3491
100,114.9192,6.5566
101,114.8924,7.1986
102,114.9750,7.8656
103,115.1289,7.7095
104,113.4539,8.1210
105,114.0411,6.6608
106,114.3658,7.4654
107,114.6572,7.9327
108,114.0035,6.5887
109,114.1866,7.3155
110,114.2550,7.2823
111,114.3198,7.3954
112,112.8954,7.2115
113,113.9054,7.1194
114,114.3283,7.4883
115,114.7488,8.1318
116,113.3869,7.8159
117,113.5690,7.2264
118,114.0237,7.4883
119,114.4368,6.4564
120,113.1845,7.8233
