Frame,SI,TI
0,72.2109,N/A
1,71.9088,11.2304
2,73.2187,19.7153
3,73.7899,19.4507
4,73.9609,18.6654
5,73.5898,16.5070
6,75.0034,16.2060
7,75.0053,12.4342
8,74.9692,12.1709
9,74.0872,10.5605
10,74.6584,10.3941
11,74.5069,19.3351
12,72.9965,15.9687
13,71.8545,15.3546
14,73.4925,17.0912
15,72.7541,24.9199
16,71.8197,25.2832
17,71.8110,19.2540
18,73.7239,11.5734
19,73.2787,10.5813
20,73.1779,14.1201
21,72.6341,10.2197
22,72.0988,9.9419
23,71.3455,10.1517
24,71.1373,20.4252
25,72.0970,22.2779
26,73.2211,11.3981
27,73.5790,15.0922
28,73.1511,24.3323
29,70.6146,19.7270
30,68.6684,32.9777
31,68.4651,37.2523
32,67.8617,38.2185
33,64.3768,29.5788
34,63.2172,18.7464
35,58.8431,40.1858
36,54.6920,46.0312
37,58.8967,41.8766
38,65.3572,31.5494
39,65.0481,19.3809
40,60.2969,36.0747
41,66.6041,32.9910
42,67.6429,24.7838
43,68.3351,25.9580
44,67.9670,29.6942
45,66.8491,27.8559
46,66.8499,27.1801
47,67.7845,24.1368
48,67.8993,27.7782
49,60.7051,33.0213
50,58.4530,36.6617
51,60.0994,39.2623
52,60.1095,37.4755
53,65.1570,32.1712
54,67.4790,25.4142
55,68.2379,19.5693
56,66.2833,18.6662
57,65.8694,21.7064
58,63.5817,22.9877
59,61.4152,38.9307
60,56.6609,40.3024
61,59.8589,33.5319
62,61.7500,33.5662
63,65.3551,37.3158
64,65.1335,23.6311
65,60.9359,35.6225
66,61.9609,38.9643
67,65.2046,26.9850
68,63.4826,23.0000
69,63.5977,37.1190
70,66.7189,36.6897
71,68.5507,32.9621
72,66.6470,24.3824
73,67.6193,19.7418
74,68.2904,23.6441
75,68.6714,18.2582
76,65.7603,21.2176
77,64.8862,19.5036
78,64.5531,10.8165
79,64.9453,28.9209
80,63.8859,31.4262
81,61.5483,32.0831
82,65.4000,29.4611
83,66.1002,15.9457
84,64.4091,20.9229
85,64.2470,12.5699
86,65.1682,18.4834
87,66.2135,19.5421
88,65.9411,16.0677
89,64.5368,18.3897
90,64.2234,27.1468
91,65.3107,13.7001
92,63.5304,27.0434
93,63.1077,28.0403
94,64.5911,33.9836
95,66.3692,29.4954
96,65.8482,20.9206
97,64.9825,20.0544
98,65.0545,24.6489
99,65.2410,18.2001
100,64.1842,26.6180
101,63.5112,27.9051
102,65.4628,32.2018
103,67.6599,30.1902
104,67.2311,20.0865
105,68.1132,13.5585
106,69.5140,13.8626
107,71.0426,15.3865
108,69.7641,15.3164
109,68.6791,11.4482
110,69.9379,16.2265
111,71.1767,13.0884
112,70.9034,9.9415
113,69.3615,14.3595
114,70.4997,20.5921
115,70.6677,25.1026
116,69.4751,23.7402
117,70.4126,16.4844
118,70.9782,9.4013
119,71.4827,11.8086
120,69.5629,19.8747
