Frame,SI,TI
0,93.2628,N/A
1,91.1485,7.2903
2,91.1027,13.6604
3,91.8454,10.0355
4,91.6554,9.2431
5,90.5054,17.0255
6,92.8076,14.2109
7,92.2016,6.9229
8,92.4374,8.9357
9,91.6832,8.6092
10,93.3439,9.1261
11,93.2259,2.3880
12,91.4968,13.6184
13,92.0072,6.3305
14,92.8842,7.3859
15,91.7358,13.6922
16,91.4472,8.9033
17,91.2881,5.5528
18,91.7711,13.8620
19,90.9149,10.3490
20,93.3049,9.6646
21,92.1433,9.5667
22,92.5996,6.2956
23,92.4759,8.6658
24,93.9113,13.1769
25,94.6977,5.3819
26,94.7145,5.3567
27,94.0819,3.8139
28,93.2773,6.3816
29,93.1671,9.6727
30,92.7958,9.7688
31,92.6013,9.8907
32,92.9239,3.3036
33,91.2526,8.4462
34,92.0455,6.7569
35,91.9527,5.7265
36,93.2364,12.5273
37,93.5071,8.4438
38,94.0316,2.0258
39,91.2736,12.4738
40,91.9063,9.2513
41,92.0744,3.2471
42,93.2326,5.5181
43,91.1428,8.0742
44,91.2793,3.6475
45,90.1185,5.5646
46,91.0166,8.3780
47,90.5652,5.9003
48,90.9532,5.1246
49,90.9444,6.1370
50,92.1568,6.7963
51,92.1461,4.8598
52,91.9830,2.5834
53,92.6247,3.0757
54,92.8446,2.9004
55,92.5401,2.6378
56,90.3431,11.1378
57,90.1828,4.0500
58,90.7534,5.9079
59,90.5226,4.9382
60,90.1264,6.2662
61,89.8998,4.8753
62,90.0789,6.6094
63,89.9952,8.8500
64,90.4687,10.3894
65,89.9258,4.1759
66,89.0107,8.2085
67,88.4971,3.1631
68,88.2743,2.6700
69,88.8247,8.0517
70,89.1959,4.2080
71,88.6965,3.1209
72,88.1056,7.9603
73,88.3220,8.8370
74,88.7354,7.5538
75,87.9077,8.5677
76,85.5701,13.1740
77,85.2759,5.9699
78,85.9377,7.3701
79,85.2881,9.8376
80,85.5616,6.1626
81,85.1511,4.4524
82,84.8629,6.1620
83,84.8157,9.3187
84,86.1512,9.6455
85,85.8481,2.8527
86,86.6935,5.1214
87,85.7362,6.4087
88,85.6618,3.2472
89,84.3922,8.2675
90,84.7967,7.8252
91,83.8489,4.0303
92,83.8693,7.7043
93,82.8115,7.5595
94,83.0505,6.8868
95,80.6357,8.6124
96,81.7081,5.1696
97,80.5733,8.4053
98,80.9943,11.6931
99,79.4603,7.2326
100,80.1621,7.5271
101,78.0621,10.2152
102,77.7726,14.6525
103,75.5698,8.7843
104,76.6936,9.1588
105,76.2065,6.7340
106,76.5490,6.9092
107,74.7845,8.3991
108,66.5939,16.5852
109,66.4275,3.2550
110,66.5333,5.2859
111,65.6131,9.5502
112,67.1468,13.5810
113,67.9266,7.7576
114,72.2278,15.7274
115,73.3416,9.6945
116,77.6160,25.6861
117,80.1296,14.1901
118,92.0213,27.5187
119,91.1892,17.6388
120,91.8105,17.2357
