Frame,SI,TI
0,76.7117,N/A
1,75.6100,18.6183
2,76.4227,21.4233
3,76.5382,19.8200
4,76.9808,23.2561
5,75.6954,25.5983
6,76.1344,25.0608
7,74.7341,17.8992
8,73.7123,29.0144
9,73.7435,20.8611
10,73.5596,20.5156
11,73.8082,26.5595
12,74.4141,25.1225
13,73.8927,28.5366
14,74.2456,27.2753
15,72.4769,29.6662
16,73.6662,31.0015
17,73.2583,28.3772
18,74.5817,24.5667
19,74.8975,30.1078
20,74.5161,33.9727
21,73.5982,28.7918
22,73.5513,32.9245
23,72.3806,31.9243
24,71.5220,28.1785
25,70.2958,37.8430
26,71.1252,37.6575
27,72.6575,28.7016
28,72.7362,34.4997
29,75.6130,32.4648
30,74.3690,31.5235
31,74.9456,30.0893
32,72.9686,36.7801
33,72.1888,31.7327
34,71.4526,26.8477
35,71.3460,27.1321
36,71.7760,24.0533
37,70.4006,26.8661
38,69.6525,34.3741
39,70.8732,38.0871
40,73.1960,46.1058
41,71.1273,42.2896
42,71.0642,34.5275
43,69.0062,32.5246
44,71.2314,32.2716
45,69.4422,34.7720
46,72.2637,37.3025
47,71.4038,35.7182
48,74.1407,37.4213
49,72.2299,36.2044
50,74.0353,37.1681
51,72.5542,32.9010
52,73.9707,35.8529
53,72.3290,38.0085
54,72.5910,35.5044
55,72.3718,28.2874
56,72.7153,26.2154
57,69.2170,31.6308
58,66.5075,40.2097
59,66.9455,37.9142
60,69.5540,37.3516
61,68.3502,37.0815
62,68.5513,36.0507
63,69.7762,37.3958
64,70.6753,40.4378
65,70.3427,40.9121
66,70.8150,37.7930
67,71.1043,36.2925
68,71.7431,34.1025
69,70.5353,33.7232
70,70.5562,35.2728
71,69.1881,35.5884
72,71.1071,36.0024
73,70.1640,37.5840
74,68.4397,39.3858
75,67.8759,38.8377
76,67.9834,36.4630
77,67.5476,32.7582
78,67.1941,29.8416
79,67.3034,29.9354
80,67.3148,32.3634
81,64.1860,35.4935
82,63.7393,36.4881
83,64.6046,35.9469
84,65.5766,36.0926
85,64.6933,33.3165
86,66.0975,31.9147
87,67.5572,30.2852
88,67.6738,30.9701
89,62.4835,33.8954
90,60.8180,35.8482
91,62.5953,34.7143
92,63.1151,35.5068
93,61.8423,35.9350
94,62.6904,36.3840
95,63.8472,36.8281
96,64.2454,34.9851
97,64.2741,33.2611
98,65.0878,30.2902
99,66.1588,33.8416
100,67.5812,35.7243
101,66.0044,37.7550
102,65.6977,33.9528
103,66.0197,29.4036
104,66.6392,29.2231
105,65.1528,31.3929
106,64.2274,32.2012
107,62.8111,33.7687
108,62.6432,35.1256
109,60.9472,32.2117
110,60.9153,30.0783
111,61.7062,29.0116
112,62.0926,30.2017
113,61.1389,28.5253
114,60.5527,27.1870
115,61.3627,25.7599
116,62.1436,22.4012
117,61.4958,19.1603
118,59.6913,22.1837
119,59.8921,22.7733
120,59.4270,27.2880
