Frame,SI,TI
0,61.0234,N/A
1,60.6244,9.1122
2,58.9008,18.8584
3,59.9056,25.5835
4,60.4616,21.6799
5,60.9230,21.3516
6,63.8558,21.6301
7,65.2108,14.2602
8,65.7136,15.1342
9,65.7361,18.1909
10,65.0361,14.8717
11,63.3839,14.0664
12,63.1861,23.7332
13,61.9746,19.1004
14,62.4458,17.6725
15,62.6126,18.1869
16,63.7265,23.3273
17,62.6960,21.5328
18,63.1379,13.1111
19,63.0776,15.4470
20,63.3855,15.9269
21,62.4598,11.1413
22,62.7710,16.0227
23,62.5408,17.4821
24,62.7307,21.2297
25,61.6198,22.0643
26,61.7817,24.9066
27,61.4890,20.5567
28,60.7088,23.3586
29,59.1865,27.2306
30,55.3384,33.1634
31,55.2788,34.6571
32,56.6391,31.2304
33,55.2824,26.2943
34,49.5230,28.9121
35,43.2619,35.5866
36,42.9987,38.4614
37,50.8004,40.8873
38,55.1967,30.9865
39,55.0709,24.6586
40,55.4258,23.8320
41,55.5432,32.0576
42,56.4399,16.3337
43,55.9730,29.3598
44,54.9635,22.3790
45,55.6667,22.8204
46,57.5035,31.0826
47,60.5668,17.6428
48,61.9549,29.1151
49,61.5292,30.0677
50,60.0549,35.0642
51,60.3420,38.8026
52,59.8647,28.5777
53,59.5847,26.6622
54,59.3655,20.0635
55,60.1058,19.2566
56,61.3728,19.9294
57,60.9967,20.8685
58,60.6084,23.0322
59,56.9258,30.6579
60,49.0576,38.0575
61,50.1573,36.2472
62,54.6599,32.4810
63,55.4585,31.0385
64,58.4566,23.6594
65,53.0413,32.3045
66,55.4073,36.0996
67,58.0232,22.7310
68,59.3359,19.5254
69,59.2337,25.0908
70,58.3119,24.2153
71,61.2037,33.4709
72,59.5628,28.6146
73,60.4643,22.1797
74,59.7008,18.6831
75,60.0103,15.8452
76,58.8305,18.5780
77,59.4517,13.5714
78,59.9765,16.9909
79,60.4342,19.2940
80,58.7502,27.5495
81,58.8307,26.9760
82,59.5428,21.3450
83,60.0686,19.6855
84,59.6649,21.2286
85,59.6657,27.2736
86,60.5451,23.7428
87,60.6162,22.3946
88,59.3536,20.9916
89,58.6389,18.5920
90,57.3180,29.6683
91,59.1074,28.0960
92,58.4270,27.7540
93,58.9008,29.6569
94,59.5228,21.9716
95,60.2793,16.9544
96,59.7984,18.8052
97,59.3883,18.1573
98,59.9347,17.2732
99,60.3684,16.6828
100,59.6322,24.1268
101,57.0609,29.2489
102,55.8733,29.4354
103,56.2458,25.7752
104,56.5938,25.4392
105,58.9775,16.0873
106,60.1513,15.1083
107,60.6992,10.8844
108,60.9146,16.0939
109,63.0430,12.9073
110,63.5756,12.3266
111,64.0286,12.7875
112,63.6852,8.5935
113,63.4584,12.5813
114,61.0686,17.4642
115,60.3578,21.8958
116,59.9159,20.0484
117,60.5868,19.0503
118,60.5404,12.2662
119,61.6444,18.5056
120,61.6740,15.4101
