Frame,SI,TI
0,136.5104,N/A
1,131.6227,11.5117
2,130.5930,13.0566
3,128.4596,8.8672
4,129.8182,8.6892
5,127.9169,9.2529
6,125.5915,6.7481
7,124.5189,6.7681
8,124.3205,7.0657
9,124.9392,7.5126
10,124.2748,4.4057
11,123.1423,6.7788
12,123.0455,6.6640
13,123.1182,8.0666
14,121.9290,5.9559
15,120.6403,7.5625
16,120.5070,7.9634
17,121.4002,7.6226
18,119.1280,7.1704
19,118.2404,5.9967
20,118.2444,8.1558
21,120.0642,8.1072
22,117.8337,7.8126
23,117.4017,8.0877
24,117.2973,6.5897
25,118.8989,8.3599
26,117.6876,6.5507
27,116.9549,6.8203
28,117.6667,7.8076
29,118.3689,5.8322
30,117.1886,6.8606
31,116.6370,5.9118
32,116.6992,7.9107
33,118.0691,8.4872
34,115.3544,7.7520
35,114.8831,8.1706
36,116.1100,6.5298
37,118.2354,8.0994
38,117.2692,5.1409
39,116.6955,7.5486
40,116.9917,8.6500
41,118.1595,7.4040
42,116.8692,7.2534
43,116.6485,5.5682
44,117.1938,7.6966
45,119.3486,7.4819
46,117.8488,7.6142
47,118.0969,8.0634
48,118.9127,6.1257
49,119.8485,7.3590
50,119.2832,7.0218
51,119.1889,6.8444
52,119.5819,7.4687
53,120.8456,6.2451
54,121.1640,6.8726
55,121.5851,5.9687
56,121.0558,7.7007
57,120.5261,7.5028
58,121.2351,7.3888
59,121.3577,5.0941
60,121.0091,6.9695
61,120.5695,9.8609
62,120.9141,5.7852
63,122.7935,8.7863
64,122.2363,9.5081
65,123.3773,8.1465
66,123.6355,6.9011
67,123.7210,5.1178
68,123.7038,6.9056
69,124.3744,7.7443
70,124.6807,6.8970
71,124.9545,6.8353
72,125.1130,7.1376
73,125.5327,7.7143
74,124.5588,8.7721
75,125.1101,10.6100
76,125.2175,9.0195
77,127.8378,14.0365
78,126.6678,10.2931
79,129.1626,14.5802
80,128.7313,14.5377
81,132.2884,16.6947
82,131.6900,11.7200
83,134.4527,16.9155
84,128.3886,15.1540
85,132.4665,18.5166
86,130.5375,11.7461
87,132.9832,18.6861
88,126.0956,16.0813
89,128.5273,19.1188
90,125.8195,12.6256
91,126.4944,18.9823
92,121.0916,17.5413
93,123.5954,18.8748
94,121.5257,16.0774
95,123.5263,18.6652
96,118.2504,17.2309
97,120.2347,18.4298
98,117.7993,13.7943
99,119.6458,17.9162
100,116.4626,14.7263
101,117.7063,17.9281
102,116.5316,12.6400
103,117.0935,16.5402
104,115.0205,13.4759
105,116.4790,16.6991
106,114.8303,12.4877
107,115.4603,15.6706
108,114.6208,13.7517
109,117.1719,16.0243
110,116.2714,11.7225
111,118.0261,14.6206
112,117.7678,11.5927
113,119.5235,14.9144
114,119.1363,10.2609
115,121.6026,13.0234
116,120.9969,10.9117
117,122.2495,13.3711
118,121.1450,10.7718
119,123.7733,11.5924
120,124.1772,10.1999
