Frame,SI,TI
0,54.3427,N/A
1,53.6398,17.3698
2,54.6294,9.8297
3,54.4148,12.3637
4,55.3191,13.3640
5,54.1977,11.5709
6,53.7205,15.7644
7,55.0031,13.5139
8,55.4016,9.1467
9,55.4225,14.5890
10,55.4899,5.4833
11,56.4598,12.3367
12,56.8933,9.4539
13,55.6217,13.7889
14,55.6738,5.0100
15,55.9791,9.0234
16,56.5572,8.3679
17,55.0421,14.2441
18,55.5424,10.8236
19,55.6261,9.0445
20,56.1308,8.7580
21,53.8395,8.1098
22,51.9905,11.6052
23,51.2260,10.4441
24,51.2441,7.0000
25,49.3859,10.5101
26,49.3458,9.4410
27,49.6689,10.6720
28,50.3527,10.3665
29,48.8723,9.3232
30,48.6072,10.9266
31,50.8553,9.7899
32,51.5156,8.6775
33,50.7915,11.8535
34,51.3068,8.6795
35,51.3038,8.6231
36,52.3436,9.0677
37,50.8956,10.8752
38,51.0488,8.6114
39,51.2156,8.6346
40,52.6363,9.0896
41,51.5293,11.1358
42,50.6779,11.0908
43,54.3002,10.9281
44,55.1984,11.0745
45,54.2454,11.3022
46,53.4523,10.1554
47,56.2542,10.5243
48,57.1371,11.3712
49,52.9261,12.0934
50,53.0409,9.5287
51,56.0686,11.4271
52,57.9566,14.3137
53,56.0319,16.1239
54,53.1536,23.4244
55,52.8178,11.8475
56,54.4954,11.7978
57,52.9206,11.6955
58,51.8597,13.5122
59,56.7988,12.8653
60,59.0727,14.2019
61,57.0699,15.4435
62,57.8893,9.9115
63,66.5119,13.5471
64,69.6124,17.9117
65,65.9482,16.6184
66,65.8361,15.1201
67,68.5974,16.3168
68,73.3684,18.5051
69,67.7555,16.7994
70,76.0182,20.6341
71,77.1211,20.9505
72,79.8713,22.4403
73,76.2066,18.9537
74,76.1981,19.5352
75,76.5506,19.9544
76,82.1991,20.5688
77,78.1792,21.5963
78,78.9173,21.4814
79,84.5218,22.5028
80,89.1888,23.4669
81,78.8583,23.2631
82,77.4027,22.0345
83,81.0829,23.4210
84,88.0866,24.3452
85,78.7420,24.5055
86,79.2731,23.7650
87,77.1144,22.6553
88,86.3981,24.0100
89,84.3906,25.6796
90,81.1588,24.6312
91,78.3803,24.2660
92,89.6904,25.6055
93,85.0570,26.3774
94,86.5725,27.0324
95,80.6219,25.7599
96,93.4378,27.7017
97,84.3351,38.7747
98,83.6931,30.7638
99,85.2914,33.2804
100,87.9795,31.9796
101,81.4167,32.6816
102,85.3114,29.7706
103,86.6567,27.8373
104,91.2973,29.6701
105,87.5689,29.4710
106,82.1979,28.5061
107,88.6124,27.8298
108,93.7395,30.4603
109,83.3836,28.7937
110,87.1457,28.6746
111,84.2908,28.3394
112,92.4918,29.3825
113,91.7401,28.1402
114,92.8205,27.4888
115,95.6310,30.9264
116,101.3333,29.6657
117,97.2412,31.8306
118,95.9783,30.7394
119,96.0228,32.3637
120,100.7745,32.6177
