Frame,SI,TI
0,71.8905,N/A
1,71.9914,13.8223
2,73.3003,18.8598
3,72.8548,20.1727
4,72.8045,21.5389
5,71.6282,24.5262
6,71.9684,23.5267
7,71.7472,17.1705
8,70.9766,27.1373
9,72.1329,19.0358
10,73.0603,20.0778
11,72.5117,27.8826
12,72.4177,22.2525
13,71.8263,30.0411
14,71.0890,25.5820
15,70.4666,30.4329
16,70.1108,28.6686
17,70.3017,25.9329
18,71.5669,23.7858
19,69.6856,33.2481
20,68.5507,33.0628
21,67.9205,26.2860
22,68.0127,26.9276
23,67.3791,26.9986
24,67.6162,26.1119
25,65.0319,35.5755
26,67.2556,36.5451
27,66.9336,22.9441
28,65.1441,29.5716
29,66.2221,28.5481
30,67.0874,26.3815
31,66.9535,24.2132
32,66.7984,31.6770
33,68.2532,28.5756
34,68.4023,22.1432
35,68.8444,26.4133
36,68.1245,24.4051
37,66.0060,27.2320
38,64.8198,28.3952
39,59.7275,34.6490
40,55.3785,46.5990
41,63.0307,39.1366
42,66.2781,30.8657
43,66.3902,34.6892
44,66.5229,32.8698
45,64.5127,32.2400
46,65.7562,38.2611
47,65.4516,33.7963
48,64.7954,37.1034
49,65.1063,34.5492
50,65.9071,32.4769
51,64.5975,33.4105
52,62.8267,36.5845
53,62.7580,37.2321
54,65.7684,33.2841
55,67.5664,26.0406
56,67.6899,23.8140
57,64.6133,28.9495
58,61.7800,40.5872
59,63.2435,42.1233
60,63.1078,38.3642
61,64.7636,34.5992
62,65.2188,35.2570
63,65.9946,39.1567
64,64.9047,41.4187
65,63.3484,40.4762
66,65.4145,39.1216
67,65.8910,36.8795
68,66.4444,34.6289
69,66.8757,34.9113
70,67.0864,35.0239
71,66.9459,37.1936
72,66.1136,38.1682
73,64.5835,38.5116
74,64.4816,39.8466
75,65.6297,41.8367
76,65.8910,40.2319
77,67.5963,32.4424
78,68.5808,33.7797
79,68.6262,32.6010
80,67.8635,33.9147
81,64.3612,36.0332
82,64.1459,36.5493
83,65.6237,38.2491
84,64.6901,37.1927
85,66.0225,31.6277
86,66.8775,31.6098
87,67.7894,32.3120
88,67.6627,31.0819
89,63.5682,34.1762
90,63.4737,39.3968
91,64.9991,39.9151
92,63.2386,38.8011
93,61.0250,37.7597
94,60.7569,41.5540
95,61.8386,41.9307
96,61.0591,38.2016
97,63.9082,30.3584
98,64.8176,31.8914
99,64.1453,36.4845
100,61.9740,38.1233
101,61.9494,36.6125
102,64.3655,36.4741
103,64.7415,29.6847
104,64.2613,28.0134
105,61.2329,31.4397
106,60.9683,33.7630
107,60.8969,34.2542
108,59.2408,34.2016
109,59.1676,29.7024
110,60.6939,30.6119
111,60.9915,29.4120
112,60.5667,27.4900
113,60.6377,24.5266
114,62.9977,27.0407
115,63.1794,23.6780
116,61.8672,22.2497
117,61.1354,19.6148
118,62.4613,23.0792
119,62.6311,20.0297
120,61.5873,21.3277
