Frame,SI,TI
0,46.9205,N/A
1,42.7129,36.5371
2,39.9625,42.7258
3,45.6047,45.4728
4,42.1600,43.1720
5,42.0788,56.0496
6,41.1189,54.2363
7,43.6330,51.8050
8,34.1526,54.8231
9,36.1171,52.5847
10,38.6876,53.7002
11,42.9157,53.5713
12,41.2258,53.8053
13,43.8598,53.5805
14,45.2646,54.7470
15,48.1132,55.4508
16,37.8031,50.7371
17,40.3339,50.0017
18,36.1098,51.6820
19,43.9652,58.5305
20,36.7104,55.2772
21,46.8687,47.4045
22,43.1844,43.6308
23,47.7396,48.6265
24,37.2495,49.5174
25,42.7852,45.7058
26,41.9253,42.0774
27,46.5344,39.9054
28,40.1500,41.8909
29,36.7059,48.7771
30,35.2829,53.4005
31,38.9599,52.2753
32,37.2438,49.7945
33,39.8204,42.6479
34,38.8723,43.0170
35,40.8157,41.3902
36,37.4207,38.4788
37,42.3772,42.2393
38,45.4584,41.8458
39,44.2312,35.3759
40,38.6146,35.6800
41,42.2810,29.6927
42,44.6316,30.5291
43,46.3108,39.5066
44,49.0336,42.8199
45,49.7789,24.4369
46,47.4871,29.4332
47,44.1021,30.4669
48,37.3519,29.7825
49,37.1825,30.5170
50,37.4221,40.2134
51,42.5667,36.3352
52,37.7340,30.2842
53,38.0595,32.6251
54,37.3715,33.8482
55,46.6291,34.0071
56,47.6597,31.9681
57,49.8845,31.3961
58,50.2870,34.5764
59,54.7529,26.4094
60,40.3489,32.5647
61,32.4847,32.5127
62,25.1515,34.0441
63,23.6559,32.7324
64,20.5152,34.2787
65,25.6268,41.6790
66,23.7101,40.8937
67,22.0984,45.2109
68,19.0935,45.3303
69,20.1971,44.1431
70,21.7769,47.1250
71,26.2212,46.5113
72,25.2852,44.6069
73,25.4736,43.4758
74,30.8488,47.1595
75,34.3761,49.2299
76,33.8969,46.0489
77,45.6324,43.3172
78,54.9665,37.0301
79,55.2121,32.1446
80,54.6869,34.3541
81,54.3897,26.5279
82,54.6129,32.7936
83,53.9620,34.1500
84,53.1244,33.3918
85,49.1369,31.2514
86,47.6305,30.6172
87,47.5743,31.4334
88,47.2351,31.0883
89,44.9185,24.1466
90,43.8035,30.3899
91,46.6859,28.1595
92,46.4120,30.5692
93,46.3397,30.6388
94,43.8479,32.2377
95,44.5397,35.9878
96,44.0249,33.8154
97,44.0269,33.4507
98,44.3292,35.7074
99,46.4064,34.1349
100,48.4058,34.2279
101,49.9290,40.7964
102,55.2491,41.3566
103,54.9175,39.6673
104,51.3438,41.4267
105,51.0422,50.5519
106,53.3554,49.4363
107,57.6211,39.1649
108,59.4448,36.3860
109,64.0200,32.3664
110,65.5038,31.0062
111,66.4928,32.6055
112,62.8272,35.5232
113,67.1946,37.7931
114,69.3818,38.9472
115,71.8586,36.1388
116,70.8771,35.9052
117,73.2567,37.0559
118,70.6811,35.7913
119,67.6255,41.7478
120,62.4050,41.3751
