Filename,MOS,STD,N,CI95
source1_1.mp4,2.4166666666666665,0.6685579234215214,12,0.4247814387650767
source1_2.mp4,2.0833333333333335,1.2401124093721456,12,0.7879298337945154
source1_3.mp4,3.0,1.044465935734187,12,0.6636219950123142
source1_4.mp4,1.5833333333333333,0.7929614610987591,12,0.5038236756015766
source1_5.mp4,2.0833333333333335,0.996204919895622,12,0.6329584084688272
source2_1.mp4,2.8333333333333335,1.2673044646258476,12,0.8052068414388693
source2_2.mp4,2.5833333333333335,0.996204919895622,12,0.6329584084688272
source2_3.mp4,3.0833333333333335,0.9962049198956219,12,0.6329584084688271
source2_4.mp4,2.0833333333333335,0.90033663737852,12,0.5720466077812512
source2_5.mp4,2.75,0.7537783614444091,12,0.4789279218256452
