Filename,MOS,STD,N,CI95
source1_1.mp4,3.0,0.9428090415820634,10,0.6744449588902547
source1_2.mp4,3.2,1.6193277068654823,10,1.1583972581065651
source1_3.mp4,3.3,1.2516655570345725,10,0.8953876001676544
source1_4.mp4,3.4,0.8432740427115678,10,0.6032419100642643
source1_5.mp4,3.4,0.9660917830792959,10,0.6911004288098085
source2_1.mp4,2.9,1.286683937707919,10,0.9204382406176087
source2_2.mp4,3.2,1.1352924243950935,10,0.8121392760666684
source2_3.mp4,3.9,1.449137674618944,10,1.036650643214713
source2_4.mp4,3.5,1.35400640077266,10,0.9685978294967084
source2_5.mp4,3.3,0.9486832980505138,10,0.6786471488222973
