filename,fb_mean_l1,fb_mean_l2,warp_mean_l1,warp_mean_l2,motion_mag_mean,motion_mag_var,Q_fb_mean_l1,Q_fb_mean_l2,Q_warp_mean_l1,Q_warp_mean_l2,Q_motion_mag_var,num_pairs
source1_1.mp4,0.08883206896333887,0.07357250422789346,0.003898096869343379,0.008342898010132497,2.017928620312838,0.27434215350554747,0.914999217440433,0.9290687819347725,0.9961094908478373,0.9916918073818923,0.7600719694765419,149
source1_2.mp4,0.5121534220724298,0.4299773963405782,0.012315732333184089,0.03173919619629847,2.6776001165377212,1.088006413092763,0.5992038496966198,0.6505237987755266,0.9877597959183988,0.96875920522082,0.3368874390783219,149
source1_3.mp4,0.5812598701391444,0.47826649968656115,0.013631771912410755,0.03419576091504337,2.801338602232453,0.832280560916167,0.5591934115015741,0.6198569832765155,0.9864607199374007,0.9663823062347344,0.43505598243714744,149
source1_4.mp4,0.1404516249395057,0.11665029283737977,0.006986177970198977,0.01784043204689386,0.7991039260921863,0.013315451058455212,0.8689657001843533,0.8898963418795178,0.9930381686415368,0.9823177662883784,0.9867728073920077,149
source1_5.mp4,0.9118008665590478,0.7494599027121627,0.010633070003116292,0.020712528702796707,2.7594027295208616,0.19835834417814527,0.40179998394497846,0.47262174554328196,0.9894232612508843,0.9795005023805314,0.8200759310428142,149
source2_1.mp4,0.20871946675665426,0.17444501292185496,0.008436327568886664,0.026711156141737965,0.5069632816234692,0.030575037854614302,0.8116228909114441,0.8399230378731664,0.9915991583820535,0.9736424315488722,0.9698876510480273,149
source2_2.mp4,0.6804895417252242,0.5683070728992856,0.01104048046989729,0.04690263839751082,0.9905786602289085,0.08640486376274674,0.5063690429048742,0.5664836428969305,0.9890202419608871,0.9541802935904936,0.9172228057604526,149
source2_3.mp4,0.05000869516008252,0.04044870625956346,0.0037049245114294475,0.007770415723648848,1.8422548586890202,0.29751328862375703,0.9512211534445519,0.9603584236237676,0.9963019302533133,0.9922596959128219,0.7426627141898222,149
source2_4.mp4,0.03930849843227223,0.03180809435278377,0.0034944019921048976,0.006969169065068732,1.681955691151971,0.5260017120153139,0.9614540563211769,0.9686924617967779,0.9965116963251444,0.9930550592771832,0.5909630929428314,149
source2_5.mp4,0.39289837168067093,0.36525342598457466,0.005069663820025705,0.014765007733898675,9.395366387079227,17.16153470325593,0.6750973531093222,0.6940207456986547,0.9949431652367741,0.9853434604918572,3.5224122059720525e-08,149
